Neighborhood,Lat,Lon
ALASKA JUNCTION,47.5612,-122.3866
ALKI,47.5755,-122.4107
BALLARD NORTH,47.6611,-122.3265
BALLARD SOUTH,47.6659,-122.3830
BELLTOWN,47.6147,-122.3448
BITTERLAKE,47.7196,-122.3495
BRIGHTON/DUNLAP,47.5361,-122.2752
CAPITOL HILL,47.6253,-122.3222
CENTRAL AREA/SQUIRE PARK,47.6080,-122.3090
CHINATOWN/INTERNATIONAL DISTRICT,47.5987,-122.3240
CLAREMONT/RAINIER VISTA,47.5619,-122.2937
COLUMBIA CITY,47.5608,-122.2870
COMMERCIAL DUWAMISH,47.5729,-122.3608
COMMERCIAL HARBOR ISLAND,47.5791,-122.3513
DOWNTOWN COMMERCIAL,47.6050,-122.3344
EASTLAKE - EAST,47.6418,-122.3265
EASTLAKE - WEST,47.6322,-122.3416
FAUNTLEROY SW,47.5240,-122.3830
FIRST HILL,47.6094,-122.3250
FREMONT,47.6542,-122.3500
GENESEE,47.5633,-122.3928
GEORGETOWN,47.5475,-122.3215
GREENWOOD,47.6907,-122.3553
HIGH POINT,47.5503,-122.3691
HIGHLAND PARK,47.5247,-122.3460
HILLMAN CITY,47.5495,-122.2804
JUDKINS PARK/NORTH BEACON HILL,47.5932,-122.3005
LAKECITY,47.7193,-122.2953
LAKEWOOD/SEWARD PARK,47.5503,-122.2649
MADISON PARK,47.6346,-122.2796
MADRONA/LESCHI,47.6139,-122.2887
MAGNOLIA,47.6468,-122.4010
MID BEACON HILL,47.5526,-122.3009
MILLER PARK,47.6211,-122.3050
MONTLAKE/PORTAGE BAY,47.6417,-122.3020
MORGAN,47.5438,-122.2821
MOUNT BAKER,47.5784,-122.2930
NEW HOLLY,47.5389,-122.2861
NORTH ADMIRAL,47.5812,-122.3866
NORTH BEACON HILL,47.5794,-122.3113
NORTH DELRIDGE,47.5623,-122.3655
NORTHGATE,47.7086,-122.3232
PHINNEY RIDGE,47.6761,-122.3542
PIGEON POINT,47.5707,-122.3593
PIONEER SQUARE,47.6015,-122.3343
QUEEN ANNE,47.6323,-122.3569
RAINIER BEACH,47.5123,-122.2640
RAINIER VIEW,47.5044,-122.2594
ROOSEVELT/RAVENNA,47.6781,-122.3156
ROXHILL/WESTWOOD/ARBOR HEIGHTS,47.5267,-122.3699
SANDPOINT,47.6787,-122.2570
SLU/CASCADE,47.6256,-122.3344
SODO,47.5830,-122.3348
SOUTH BEACON HILL,47.5491,-122.3070
SOUTH DELRIDGE,47.5269,-122.3607
SOUTH PARK,47.5265,-122.3244
UNIVERSITY,47.6628,-122.3139
WALLINGFORD,47.6614,-122.3421